,IPM2020,IPM2021,IPM2022
ACEH,71.99,72.18,72.8
BALI,75.5,75.69,76.44
BANTEN,72.45,72.72,73.32
BENGKULU,71.4,71.64,72.16
DAERAH ISTIMEWA YOGYAKARTA,79.97,80.22,80.64
DKI JAKARTA,80.77,81.11,81.65
GORONTALO,68.68,69,69.81
JAMBI,71.29,71.63,72.14
JAWA BARAT,72.09,72.45,73.12
JAWA TENGAH,71.87,72.16,72.79
JAWA TIMUR,71.71,72.14,72.75
KALIMANTAN BARAT,67.66,67.9,68.63
KALIMANTAN SELATAN,70.91,71.28,71.84
KALIMANTAN TENGAH,71.05,71.25,71.63
KALIMANTAN TIMUR,76.24,76.88,77.44
KALIMANTAN UTARA,70.63,71.19,71.83
KEPULAUAN BANGKA BELITUNG,71.47,71.69,72.24
KEPULAUAN RIAU,75.59,75.79,76.46
LAMPUNG,69.69,69.9,70.45
MALUKU,69.49,69.71,70.22
MALUKU UTARA,68.49,68.76,69.47
NUSA TENGGARA BARAT,68.25,68.65,69.46
NUSA TENGGARA TIMUR,65.19,65.28,65.9
PAPUA,60.44,60.62,61.39
PAPUA BARAT,65.09,65.26,65.89
RIAU,72.71,72.94,73.52
SULAWESI BARAT,66.11,66.36,66.92
SULAWESI SELATAN,71.93,72.24,72.82
SULAWESI TENGAH,69.55,69.79,70.28
SULAWESI TENGGARA,71.45,71.66,72.23
SULAWESI UTARA,72.93,73.3,73.81
SUMATERA BARAT,72.38,72.65,73.26
SUMATERA SELATAN,70.01,70.24,70.9
SUMATERA UTARA,71.77,72,72.71
,,,
,,,
,,,
